摘要
[样品信息]
类型:,测定数据
495.0,0.137805
496.0,0.138753
497.0,0.140858
498.0,0.141883
499.0,0.143778
500.0,0.145005
501.0,0.146715
502.0,0.148376
503.0,0.149712
504.0,0.151417
505.0,0.153411
506.0,0.154821
507.0,0.156603
508.0,0.158085
509.0,0.160492
510.0,0.162414
511.0,0.164169
512.0,0.165541
513.0,0.167617
514.0,0.169451
515.0,0.171218
516.0,0.173147
517.0,0.175281
518.0,0.176822
519.0,0.179100
520.0,0.180215
521.0,0.181777
522.0,0.183611
523.0,0.185238
524.0,0.187012
525.0,0.188667
526.0,0.190275
527.0,0.191455
528.0,0.192524
529.0,0.194007
530.0,0.195604
531.0,0.196779
532.0,0.197809
533.0,0.198547
534.0,0.199317
535.0,0.199758
536.0,0.200521
537.0,0.201397
538.0,0.202004
539.0,0.202742
540.0,0.202417
541.0,0.203601
542.0,0.203434
543.0,0.202616
544.0,0.202691
545.0,0.202834
546.0,0.202420
547.0,0.201902
548.0,0.201051
549.0,0.200100
550.0,0.198836
551.0,0.198039
552.0,0.196324
553.0,0.195040
554.0,0.193828
555.0,0.192256
556.0,0.190556
557.0,0.188550
558.0,0.187412
559.0,0.185214
560.0,0.182720
561.0,0.180776
562.0,0.178939
563.0,0.176515
564.0,0.173911
565.0,0.171652
566.0,0.169216
567.0,0.166583
568.0,0.163686
569.0,0.160682
570.0,0.158027
571.0,0.155069
572.0,0.152125
573.0,0.148570
574.0,0.145593
575.0,0.143146
576.0,0.140049
577.0,0.136826
578.0,0.133365
579.0,0.130656
580.0,0.127612
581.0,0.124695
582.0,0.121122
583.0,0.118167
584.0,0.115626
585.0,0.112305
586.0,0.109575
587.0,0.106659
588.0,0.103487
589.0,0.101130
590.0,0.097868
591.0,0.095155
592.0,0.092621
593.0,0.090012
594.0,0.087289
595.0,0.084761
596.0,0.081713
597.0,0.078993
598.0,0.076730
599.0,0.074701
600.0,0.071944
601.0,0.069360
602.0,0.067378
603.0,0.064605
604.0,0.063001
605.0,0.060842
606.0,0.058708
607.0,0.056538
608.0,0.055121
609.0,0.052884
610.0,0.051794
611.0,0.049918
612.0,0.048066
613.0,0.046763
614.0,0.044991
615.0,0.043348
616.0,0.042188
617.0,0.041367
618.0,0.039290
619.0,0.038064
620.0,0.037195
621.0,0.035748
622.0,0.034633
623.0,0.033530
624.0,0.032844
625.0,0.031115
626.0,0.030890
627.0,0.029966
628.0,0.028950
629.0,0.028128
630.0,0.027447
631.0,0.026748
632.0,0.025462
633.0,0.024861
634.0,0.024602
635.0,0.023676
636.0,0.023516
637.0,0.022494
638.0,0.021514
639.0,0.021387
640.0,0.020787
641.0,0.020570
642.0,0.019984
643.0,0.019511
644.0,0.019039
645.0,0.018676
646.0,0.018846
647.0,0.017872
648.0,0.017700
649.0,0.017565
650.0,0.017244
651.0,0.017070
652.0,0.016512
653.0,0.016693
654.0,0.016382
655.0,0.016895
656.0,0.015587
657.0,0.015697
658.0,0.015453
659.0,0.015465
660.0,0.014961
661.0,0.014770
662.0,0.013680
663.0,0.014072
664.0,0.013876
665.0,0.013730
666.0,0.013382
667.0,0.013207
668.0,0.012887
669.0,0.012885
670.0,0.012513
671.0,0.012885
672.0,0.012721
673.0,0.011951
674.0,0.012247
675.0,0.011834
676.0,0.012467
677.0,0.012206
678.0,0.012100
679.0,0.011726
680.0,0.011516
681.0,0.011184
682.0,0.011054
683.0,0.011197
684.0,0.011039
685.0,0.011281
686.0,0.011431
687.0,0.011038
688.0,0.011044
689.0,0.011537
690.0,0.010874
691.0,0.009714
692.0,0.010403
693.0,0.010797
694.0,0.010895
695.0,0.009651
696.0,0.008665
697.0,0.011719
698.0,0.010085
699.0,0.010289
700.0,0.009661
